Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas
América Central e Caribe;2;Panamá;170;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
América Central e Caribe;2;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;1
América do Norte;3;Canadá;38;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;3
América do Norte;3;Estados Unidos;68;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;23
América do Norte;3;México;148;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;5
América do Sul;4;Argentina;11;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;63
América do Sul;4;Bolívia;26;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;905
América do Sul;4;Chile;42;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;16
América do Sul;4;Colômbia;48;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;25
América do Sul;4;Equador;63;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;30
América do Sul;4;Guiana Francesa;87;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
América do Sul;4;Paraguai;173;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;1394
América do Sul;4;Peru;174;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;99
América do Sul;4;Guiana;86;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
América do Sul;4;Suriname;217;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
América do Sul;4;Uruguai;234;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;6
América do Sul;4;Venezuela;238;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;2
Ásia;5;China;43;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;1
Ásia;5;Índia;113;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;1
Ásia;5;Israel;119;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;2
