Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Amazonas;4;Aérea;1;2002;janeiro;1;0
África;1;Angola;6;Amazonas;4;Aérea;1;2002;janeiro;1;12
África;1;Nigéria;162;Amazonas;4;Aérea;1;2002;janeiro;1;0
África;1;Outros países;998;Amazonas;4;Aérea;1;2002;janeiro;1;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2002;janeiro;1;0
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2002;janeiro;1;9
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;2002;janeiro;1;3
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2002;janeiro;1;3
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2002;janeiro;1;75
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2002;janeiro;1;235
América do Norte;3;México;148;Amazonas;4;Aérea;1;2002;janeiro;1;34
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2002;janeiro;1;261
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2002;janeiro;1;33
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2002;janeiro;1;62
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2002;janeiro;1;14
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2002;janeiro;1;22
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2002;janeiro;1;15
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2002;janeiro;1;5
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2002;janeiro;1;2
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2002;janeiro;1;28
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2002;janeiro;1;4
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2002;janeiro;1;0
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2002;janeiro;1;95
Ásia;5;China;43;Amazonas;4;Aérea;1;2002;janeiro;1;11
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2002;janeiro;1;21
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2002;janeiro;1;31
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2002;janeiro;1;7
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2002;janeiro;1;207
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2002;janeiro;1;10
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2002;janeiro;1;21
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2002;janeiro;1;0
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2002;janeiro;1;164
Europa;6;França;74;Amazonas;4;Aérea;1;2002;janeiro;1;110
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2002;janeiro;1;0
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2002;janeiro;1;8
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2002;janeiro;1;29
Europa;6;Itália;120;Amazonas;4;Aérea;1;2002;janeiro;1;216
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2002;janeiro;1;0
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2002;janeiro;1;444
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2002;janeiro;1;0
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2002;janeiro;1;69
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2002;janeiro;1;2
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2002;janeiro;1;23
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2002;janeiro;1;7
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;2002;janeiro;1;0
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;2002;janeiro;1;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2002;janeiro;1;0
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2002;janeiro;1;2
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2002;janeiro;1;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2002;fevereiro;2;0
África;1;Angola;6;Amazonas;4;Aérea;1;2002;fevereiro;2;5
África;1;Nigéria;162;Amazonas;4;Aérea;1;2002;fevereiro;2;0
África;1;Outros países;998;Amazonas;4;Aérea;1;2002;fevereiro;2;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2002;fevereiro;2;0
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2002;fevereiro;2;4
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;2002;fevereiro;2;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2002;fevereiro;2;3
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2002;fevereiro;2;28
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2002;fevereiro;2;86
América do Norte;3;México;148;Amazonas;4;Aérea;1;2002;fevereiro;2;12
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2002;fevereiro;2;95
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2002;fevereiro;2;12
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2002;fevereiro;2;23
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2002;fevereiro;2;5
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2002;fevereiro;2;8
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2002;fevereiro;2;7
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2002;fevereiro;2;2
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2002;fevereiro;2;0
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2002;fevereiro;2;11
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2002;fevereiro;2;0
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2002;fevereiro;2;0
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2002;fevereiro;2;36
Ásia;5;China;43;Amazonas;4;Aérea;1;2002;fevereiro;2;4
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2002;fevereiro;2;8
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2002;fevereiro;2;11
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2002;fevereiro;2;3
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2002;fevereiro;2;75
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2002;fevereiro;2;4
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2002;fevereiro;2;8
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2002;fevereiro;2;2
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2002;fevereiro;2;60
Europa;6;França;74;Amazonas;4;Aérea;1;2002;fevereiro;2;40
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2002;fevereiro;2;2
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2002;fevereiro;2;10
Europa;6;Itália;120;Amazonas;4;Aérea;1;2002;fevereiro;2;76
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2002;fevereiro;2;156
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2002;fevereiro;2;26
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2002;fevereiro;2;10
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2002;fevereiro;2;3
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2002;fevereiro;2;0
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2002;fevereiro;2;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2002;março;3;0
África;1;Angola;6;Amazonas;4;Aérea;1;2002;março;3;5
África;1;Nigéria;162;Amazonas;4;Aérea;1;2002;março;3;0
África;1;Outros países;998;Amazonas;4;Aérea;1;2002;março;3;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2002;março;3;0
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2002;março;3;4
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;2002;março;3;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2002;março;3;3
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2002;março;3;32
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2002;março;3;97
América do Norte;3;México;148;Amazonas;4;Aérea;1;2002;março;3;14
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2002;março;3;108
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2002;março;3;14
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2002;março;3;26
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2002;março;3;6
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2002;março;3;9
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2002;março;3;7
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2002;março;3;3
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2002;março;3;0
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2002;março;3;11
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2002;março;3;2
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2002;março;3;0
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2002;março;3;39
Ásia;5;China;43;Amazonas;4;Aérea;1;2002;março;3;5
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2002;março;3;9
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2002;março;3;13
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2002;março;3;3
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2002;março;3;86
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2002;março;3;4
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2002;março;3;9
