Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Amazonas;4;Aérea;1;1989;janeiro;1;9
África;1;Angola;6;Amazonas;4;Aérea;1;1989;janeiro;1;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1989;janeiro;1;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1989;janeiro;1;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1989;janeiro;1;6
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1989;janeiro;1;11
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1989;janeiro;1;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1989;janeiro;1;20
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1989;janeiro;1;20
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1989;janeiro;1;409
América do Norte;3;México;148;Amazonas;4;Aérea;1;1989;janeiro;1;20
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1989;janeiro;1;6
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1989;janeiro;1;5
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1989;janeiro;1;2
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1989;janeiro;1;22
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1989;janeiro;1;2
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1989;janeiro;1;0
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1989;janeiro;1;2
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1989;janeiro;1;2
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1989;janeiro;1;6
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1989;janeiro;1;0
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1989;janeiro;1;1
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1989;janeiro;1;15
Ásia;5;China;43;Amazonas;4;Aérea;1;1989;janeiro;1;0
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1989;janeiro;1;3
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1989;janeiro;1;5
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1989;janeiro;1;0
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1989;janeiro;1;12
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1989;janeiro;1;1
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1989;janeiro;1;0
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1989;janeiro;1;67
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1989;janeiro;1;2
Europa;6;França;74;Amazonas;4;Aérea;1;1989;janeiro;1;5
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1989;janeiro;1;0
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1989;janeiro;1;12
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1989;janeiro;1;21
Europa;6;Itália;120;Amazonas;4;Aérea;1;1989;janeiro;1;15
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1989;janeiro;1;1
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1989;janeiro;1;0
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1989;janeiro;1;5
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1989;janeiro;1;19
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1989;janeiro;1;2
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1989;janeiro;1;13
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1989;janeiro;1;1
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1989;janeiro;1;0
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1989;janeiro;1;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1989;janeiro;1;6
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1989;janeiro;1;0
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1989;janeiro;1;9
África;1;África do Sul;2;Amazonas;4;Aérea;1;1989;fevereiro;2;1
África;1;Angola;6;Amazonas;4;Aérea;1;1989;fevereiro;2;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1989;fevereiro;2;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1989;fevereiro;2;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1989;fevereiro;2;7
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1989;fevereiro;2;8
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1989;fevereiro;2;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1989;fevereiro;2;26
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1989;fevereiro;2;39
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1989;fevereiro;2;220
América do Norte;3;México;148;Amazonas;4;Aérea;1;1989;fevereiro;2;20
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1989;fevereiro;2;7
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1989;fevereiro;2;21
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1989;fevereiro;2;1
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1989;fevereiro;2;26
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1989;fevereiro;2;4
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1989;fevereiro;2;0
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1989;fevereiro;2;0
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1989;fevereiro;2;4
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1989;fevereiro;2;13
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1989;fevereiro;2;1
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1989;fevereiro;2;0
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1989;fevereiro;2;7
Ásia;5;China;43;Amazonas;4;Aérea;1;1989;fevereiro;2;0
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1989;fevereiro;2;17
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1989;fevereiro;2;19
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1989;fevereiro;2;11
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1989;fevereiro;2;268
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1989;fevereiro;2;2
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1989;fevereiro;2;0
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1989;fevereiro;2;2
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1989;fevereiro;2;11
Europa;6;França;74;Amazonas;4;Aérea;1;1989;fevereiro;2;17
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1989;fevereiro;2;0
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1989;fevereiro;2;1
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1989;fevereiro;2;19
Europa;6;Itália;120;Amazonas;4;Aérea;1;1989;fevereiro;2;4
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1989;fevereiro;2;1
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1989;fevereiro;2;0
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1989;fevereiro;2;3
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1989;fevereiro;2;21
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1989;fevereiro;2;2
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1989;fevereiro;2;4
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1989;fevereiro;2;0
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1989;fevereiro;2;0
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1989;fevereiro;2;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1989;fevereiro;2;1
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1989;fevereiro;2;2
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1989;fevereiro;2;8
África;1;África do Sul;2;Amazonas;4;Aérea;1;1989;março;3;0
África;1;Angola;6;Amazonas;4;Aérea;1;1989;março;3;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1989;março;3;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1989;março;3;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1989;março;3;0
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1989;março;3;0
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1989;março;3;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1989;março;3;0
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1989;março;3;49
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1989;março;3;254
América do Norte;3;México;148;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1989;março;3;4
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1989;março;3;8
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1989;março;3;0
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1989;março;3;1
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;China;43;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1989;março;3;10
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1989;março;3;3
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;França;74;Amazonas;4;Aérea;1;1989;março;3;4
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1989;março;3;16
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1989;março;3;4
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1989;março;3;20
Europa;6;Itália;120;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1989;março;3;0
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1989;março;3;5
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1989;março;3;1
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1989;março;3;2
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1989;março;3;0
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1989;março;3;0
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1989;março;3;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;1989;abril;4;0
África;1;Angola;6;Amazonas;4;Aérea;1;1989;abril;4;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1989;abril;4;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1989;abril;4;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1989;abril;4;0
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1989;abril;4;0
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1989;abril;4;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1989;abril;4;0
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1989;abril;4;0
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1989;abril;4;2
América do Norte;3;México;148;Amazonas;4;Aérea;1;1989;abril;4;0
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1989;abril;4;0
