Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Amazonas;4;Aérea;1;1999;janeiro;1;0
África;1;Angola;6;Amazonas;4;Aérea;1;1999;janeiro;1;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1999;janeiro;1;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1999;janeiro;1;4
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1999;janeiro;1;2
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1999;janeiro;1;15
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1999;janeiro;1;5
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1999;janeiro;1;11
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1999;janeiro;1;65
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1999;janeiro;1;961
América do Norte;3;México;148;Amazonas;4;Aérea;1;1999;janeiro;1;36
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1999;janeiro;1;42
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1999;janeiro;1;20
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1999;janeiro;1;8
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1999;janeiro;1;12
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1999;janeiro;1;38
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1999;janeiro;1;6
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1999;janeiro;1;1
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1999;janeiro;1;2
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1999;janeiro;1;19
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1999;janeiro;1;2
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1999;janeiro;1;2
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1999;janeiro;1;156
Ásia;5;China;43;Amazonas;4;Aérea;1;1999;janeiro;1;15
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1999;janeiro;1;37
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1999;janeiro;1;33
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;janeiro;1;14
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1999;janeiro;1;141
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1999;janeiro;1;6
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1999;janeiro;1;1
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1999;janeiro;1;3
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1999;janeiro;1;3
Europa;6;França;74;Amazonas;4;Aérea;1;1999;janeiro;1;11
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1999;janeiro;1;2
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1999;janeiro;1;9
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1999;janeiro;1;18
Europa;6;Itália;120;Amazonas;4;Aérea;1;1999;janeiro;1;12
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1999;janeiro;1;2
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1999;janeiro;1;3
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1999;janeiro;1;2
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1999;janeiro;1;10
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1999;janeiro;1;7
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1999;janeiro;1;21
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1999;janeiro;1;8
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1999;janeiro;1;1
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1999;janeiro;1;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1999;janeiro;1;4
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;janeiro;1;2
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1999;janeiro;1;4
África;1;África do Sul;2;Amazonas;4;Aérea;1;1999;fevereiro;2;1
África;1;Angola;6;Amazonas;4;Aérea;1;1999;fevereiro;2;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1999;fevereiro;2;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1999;fevereiro;2;2
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1999;fevereiro;2;3
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1999;fevereiro;2;11
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1999;fevereiro;2;2
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1999;fevereiro;2;9
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1999;fevereiro;2;49
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1999;fevereiro;2;727
América do Norte;3;México;148;Amazonas;4;Aérea;1;1999;fevereiro;2;27
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1999;fevereiro;2;30
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1999;fevereiro;2;15
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1999;fevereiro;2;7
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1999;fevereiro;2;10
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1999;fevereiro;2;29
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1999;fevereiro;2;4
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1999;fevereiro;2;1
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1999;fevereiro;2;2
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1999;fevereiro;2;14
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1999;fevereiro;2;1
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1999;fevereiro;2;2
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1999;fevereiro;2;117
Ásia;5;China;43;Amazonas;4;Aérea;1;1999;fevereiro;2;11
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1999;fevereiro;2;28
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1999;fevereiro;2;25
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;fevereiro;2;11
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1999;fevereiro;2;107
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1999;fevereiro;2;4
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1999;fevereiro;2;3
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1999;fevereiro;2;1
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1999;fevereiro;2;2
Europa;6;França;74;Amazonas;4;Aérea;1;1999;fevereiro;2;8
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1999;fevereiro;2;1
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1999;fevereiro;2;7
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1999;fevereiro;2;13
Europa;6;Itália;120;Amazonas;4;Aérea;1;1999;fevereiro;2;9
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1999;fevereiro;2;4
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1999;fevereiro;2;0
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1999;fevereiro;2;2
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1999;fevereiro;2;7
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1999;fevereiro;2;6
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1999;fevereiro;2;16
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1999;fevereiro;2;6
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1999;fevereiro;2;3
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1999;fevereiro;2;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1999;fevereiro;2;3
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;fevereiro;2;0
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1999;fevereiro;2;3
África;1;África do Sul;2;Amazonas;4;Aérea;1;1999;março;3;1
África;1;Angola;6;Amazonas;4;Aérea;1;1999;março;3;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1999;março;3;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1999;março;3;2
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1999;março;3;2
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1999;março;3;13
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1999;março;3;3
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1999;março;3;10
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1999;março;3;54
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1999;março;3;794
América do Norte;3;México;148;Amazonas;4;Aérea;1;1999;março;3;29
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1999;março;3;34
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1999;março;3;16
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1999;março;3;7
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1999;março;3;11
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1999;março;3;32
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1999;março;3;5
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1999;março;3;1
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1999;março;3;2
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1999;março;3;15
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1999;março;3;2
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1999;março;3;2
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1999;março;3;127
Ásia;5;China;43;Amazonas;4;Aérea;1;1999;março;3;13
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1999;março;3;29
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1999;março;3;28
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;março;3;11
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1999;março;3;116
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1999;março;3;5
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1999;março;3;3
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1999;março;3;1
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1999;março;3;2
Europa;6;França;74;Amazonas;4;Aérea;1;1999;março;3;9
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1999;março;3;1
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1999;março;3;7
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1999;março;3;15
Europa;6;Itália;120;Amazonas;4;Aérea;1;1999;março;3;11
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1999;março;3;0
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1999;março;3;4
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1999;março;3;2
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1999;março;3;8
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1999;março;3;6
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1999;março;3;17
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1999;março;3;7
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1999;março;3;2
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1999;março;3;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1999;março;3;3
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;março;3;2
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1999;março;3;3
África;1;África do Sul;2;Amazonas;4;Aérea;1;1999;abril;4;0
África;1;Angola;6;Amazonas;4;Aérea;1;1999;abril;4;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1999;abril;4;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1999;abril;4;2
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1999;abril;4;2
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1999;abril;4;6
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1999;abril;4;2
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1999;abril;4;6
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1999;abril;4;31
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1999;abril;4;464
América do Norte;3;México;148;Amazonas;4;Aérea;1;1999;abril;4;17
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1999;abril;4;20
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1999;abril;4;9
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1999;abril;4;4
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1999;abril;4;6
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1999;abril;4;19
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1999;abril;4;2
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1999;abril;4;1
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1999;abril;4;1
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1999;abril;4;9
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1999;abril;4;1
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1999;abril;4;1
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1999;abril;4;74
Ásia;5;China;43;Amazonas;4;Aérea;1;1999;abril;4;7
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1999;abril;4;17
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1999;abril;4;16
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;abril;4;7
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1999;abril;4;65
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1999;abril;4;2
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1999;abril;4;1
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1999;abril;4;2
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1999;abril;4;2
Europa;6;França;74;Amazonas;4;Aérea;1;1999;abril;4;6
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1999;abril;4;1
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1999;abril;4;5
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1999;abril;4;8
Europa;6;Itália;120;Amazonas;4;Aérea;1;1999;abril;4;6
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1999;abril;4;2
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1999;abril;4;2
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1999;abril;4;1
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1999;abril;4;5
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1999;abril;4;3
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1999;abril;4;10
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1999;abril;4;4
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1999;abril;4;1
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1999;abril;4;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1999;abril;4;2
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1999;abril;4;1
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1999;abril;4;2
África;1;África do Sul;2;Amazonas;4;Aérea;1;1999;maio;5;0
África;1;Angola;6;Amazonas;4;Aérea;1;1999;maio;5;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1999;maio;5;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1999;maio;5;1
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1999;maio;5;1
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1999;maio;5;4
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1999;maio;5;2
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1999;maio;5;3
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1999;maio;5;19
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1999;maio;5;280
América do Norte;3;México;148;Amazonas;4;Aérea;1;1999;maio;5;11
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1999;maio;5;11
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1999;maio;5;6
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1999;maio;5;2
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1999;maio;5;3
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1999;maio;5;11
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1999;maio;5;2
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1999;maio;5;0
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1999;maio;5;1
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1999;maio;5;6
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1999;maio;5;1
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1999;maio;5;1
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1999;maio;5;46
Ásia;5;China;43;Amazonas;4;Aérea;1;1999;maio;5;5
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1999;maio;5;10
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1999;maio;5;10
