Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Amazonas;4;Aérea;1;1998;janeiro;1;1
África;1;Angola;6;Amazonas;4;Aérea;1;1998;janeiro;1;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1998;janeiro;1;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1998;janeiro;1;4
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1998;janeiro;1;4
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1998;janeiro;1;18
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1998;janeiro;1;5
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1998;janeiro;1;14
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1998;janeiro;1;80
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1998;janeiro;1;1181
América do Norte;3;México;148;Amazonas;4;Aérea;1;1998;janeiro;1;44
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1998;janeiro;1;51
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1998;janeiro;1;24
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1998;janeiro;1;10
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1998;janeiro;1;15
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1998;janeiro;1;47
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1998;janeiro;1;7
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1998;janeiro;1;1
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1998;janeiro;1;3
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1998;janeiro;1;23
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1998;janeiro;1;2
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1998;janeiro;1;3
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1998;janeiro;1;191
Ásia;5;China;43;Amazonas;4;Aérea;1;1998;janeiro;1;19
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1998;janeiro;1;44
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1998;janeiro;1;41
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1998;janeiro;1;17
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1998;janeiro;1;171
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1998;janeiro;1;7
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1998;janeiro;1;3
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1998;janeiro;1;2
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1998;janeiro;1;4
Europa;6;França;74;Amazonas;4;Aérea;1;1998;janeiro;1;14
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1998;janeiro;1;2
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1998;janeiro;1;11
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1998;janeiro;1;22
Europa;6;Itália;120;Amazonas;4;Aérea;1;1998;janeiro;1;15
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1998;janeiro;1;3
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1998;janeiro;1;4
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1998;janeiro;1;3
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1998;janeiro;1;12
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1998;janeiro;1;9
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1998;janeiro;1;26
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1998;janeiro;1;10
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1998;janeiro;1;2
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1998;janeiro;1;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1998;janeiro;1;5
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1998;janeiro;1;2
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1998;janeiro;1;5
África;1;África do Sul;2;Amazonas;4;Aérea;1;1998;fevereiro;2;0
África;1;Angola;6;Amazonas;4;Aérea;1;1998;fevereiro;2;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1998;fevereiro;2;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1998;fevereiro;2;4
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1998;fevereiro;2;3
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1998;fevereiro;2;13
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1998;fevereiro;2;4
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1998;fevereiro;2;11
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1998;fevereiro;2;60
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1998;fevereiro;2;892
América do Norte;3;México;148;Amazonas;4;Aérea;1;1998;fevereiro;2;33
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1998;fevereiro;2;38
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1998;fevereiro;2;18
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1998;fevereiro;2;8
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1998;fevereiro;2;12
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1998;fevereiro;2;36
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1998;fevereiro;2;5
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1998;fevereiro;2;1
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1998;fevereiro;2;2
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1998;fevereiro;2;17
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1998;fevereiro;2;1
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1998;fevereiro;2;2
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1998;fevereiro;2;145
Ásia;5;China;43;Amazonas;4;Aérea;1;1998;fevereiro;2;14
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1998;fevereiro;2;34
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1998;fevereiro;2;31
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1998;fevereiro;2;13
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1998;fevereiro;2;130
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1998;fevereiro;2;5
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1998;fevereiro;2;2
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1998;fevereiro;2;2
