"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","África",1989-01-01,1,0,0,0,1902,NA
"2","África",1989-02-01,1,0,0,0,1755,NA
"3","África",1989-03-01,0,0,1,0,2459,0.370136698212408
"4","África",1989-04-01,0,0,1,0,1606,-0.486039886039886
"5","África",1989-05-01,0,0,1,0,2072,0.189507930052867
"6","África",1989-06-01,0,0,0,1,2096,0.0149439601494396
"7","África",1989-07-01,0,0,0,1,1983,-0.0545366795366795
"8","África",1989-08-01,0,0,0,1,3151,0.557251908396947
"9","África",1989-09-01,0,1,0,0,1600,-0.7821482602118
"10","África",1989-10-01,0,1,0,0,2815,0.385591875595049
"11","África",1989-11-01,0,1,0,0,3031,0.135
"12","África",1989-12-01,1,0,0,0,2983,-0.0170515097690941
"13","África",1990-01-01,1,0,0,0,2375,-0.200593863411415
"14","África",1990-02-01,1,0,0,0,1919,-0.152866242038217
"15","África",1990-03-01,0,0,1,0,2165,0.103578947368421
"16","África",1990-04-01,0,0,1,0,2543,0.196977592496092
"17","África",1990-05-01,0,0,1,0,2255,-0.133025404157044
"18","África",1990-06-01,0,0,0,1,1464,-0.31104994101455
"19","África",1990-07-01,0,0,0,1,3006,0.683813747228381
"20","África",1990-08-01,0,0,0,1,2443,-0.384562841530055
"21","África",1990-09-01,0,1,0,0,3118,0.224550898203593
"22","África",1990-10-01,0,1,0,0,2972,-0.0597625869832174
"23","África",1990-11-01,0,1,0,0,1918,-0.338037203335471
"24","África",1990-12-01,1,0,0,0,1778,-0.0471063257065949
"25","África",1991-01-01,1,0,0,0,1695,-0.043274244004171
"26","África",1991-02-01,1,0,0,0,900,-0.447131608548931
"27","África",1991-03-01,0,0,1,0,1119,0.129203539823009
"28","África",1991-04-01,0,0,1,0,1820,0.778888888888889
"29","África",1991-05-01,0,0,1,0,1699,-0.108132260947274
"30","África",1991-06-01,0,0,0,1,1821,0.067032967032967
"31","África",1991-07-01,0,0,0,1,1780,-0.024131842260153
"32","África",1991-08-01,0,0,0,1,2159,0.208127402526085
"33","África",1991-09-01,0,1,0,0,1604,-0.311797752808989
"34","África",1991-10-01,0,1,0,0,1925,0.148679944418712
"35","África",1991-11-01,0,1,0,0,2056,0.0816708229426434
