"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","América Central e Caribe","1989-01-01",1,0,0,0,667,NA
"2","América Central e Caribe","1989-02-01",1,0,0,0,632,NA
"3","América Central e Caribe","1989-03-01",0,0,1,0,859,0.00046008924713253
"4","América Central e Caribe","1989-04-01",0,0,1,0,653,-0.000433847773271873
"5","América Central e Caribe","1989-05-01",0,0,1,0,559,-0.000180940228313541
"6","América Central e Caribe","1989-06-01",0,0,0,1,778,0.000506243569714077
"7","América Central e Caribe","1989-07-01",0,0,0,1,786,1.83010165488646e-05
"8","América Central e Caribe","1989-08-01",0,0,0,1,773,-2.14366887426532e-05
"9","América Central e Caribe","1989-09-01",0,1,0,0,663,-0.000195297784225903
"10","América Central e Caribe","1989-10-01",0,1,0,0,601,-0.000127011714942632
"11","América Central e Caribe","1989-11-01",0,1,0,0,775,0.00038351145523098
"12","América Central e Caribe","1989-12-01",1,0,0,0,599,-0.000428621349813474
"13","América Central e Caribe","1990-01-01",1,0,0,0,563,-7.99767354525918e-05
"14","América Central e Caribe","1990-02-01",1,0,0,0,971,0.000909927946830776
"15","América Central e Caribe","1990-03-01",0,0,1,0,969,-3.66226714131222e-06
"16","América Central e Caribe","1990-04-01",0,0,1,0,544,-0.000594557533506513
"17","América Central e Caribe","1990-05-01",0,0,1,0,480,-0.000129167330189892
"18","América Central e Caribe","1990-06-01",0,0,0,1,616,0.000458567756675704
"19","América Central e Caribe","1990-07-01",0,0,0,1,661,0.000146889325662847
"20","América Central e Caribe","1990-08-01",0,0,0,1,590,-0.000184466400895976
"21","América Central e Caribe","1990-09-01",0,1,0,0,838,0.000530855618127561
"22","América Central e Caribe","1990-10-01",0,1,0,0,718,-0.000261946663447218
"23","América Central e Caribe","1990-11-01",0,1,0,0,671,-8.0788105103272e-05
"24","América Central e Caribe","1990-12-01",1,0,0,0,423,-0.000642614147528419
"25","América Central e Caribe","1991-01-01",1,0,0,0,381,-0.000155846205543333
"26","América Central e Caribe","1991-02-01",1,0,0,0,311,-0.000479920716187866
