;Kernel;Parameter1;Parameter2;MSE
462;Polinomial;3.3;5;3.631321296
479;Polinomial;4.15;5;3.635881232
316;Polinomial;0.95;4;3.639876991
470;Polinomial;3.7;5;3.658132807
468;Polinomial;3.6;5;3.662590314
481;Polinomial;4.25;5;3.679126381
482;Polinomial;4.3;5;3.681732639
471;Polinomial;3.75;5;3.720528474
315;Polinomial;0.9;4;3.723395283
496;Polinomial;5;5;3.746085548
313;Polinomial;0.8;4;3.815086599
314;Polinomial;0.85;4;3.81927725
312;Polinomial;0.75;4;3.820559304
475;Polinomial;3.95;5;3.887947358
485;Polinomial;4.45;5;3.904635954
476;Polinomial;4;5;3.93158546
409;Polinomial;0.65;5;3.939764132
311;Polinomial;0.7;4;3.951781204
492;Polinomial;4.8;5;3.956712074
408;Polinomial;0.6;5;3.960750963
309;Polinomial;0.6;4;3.984450199
310;Polinomial;0.65;4;3.988913841
489;Polinomial;4.65;5;4.006550368
460;Polinomial;3.2;5;4.030088863
407;Polinomial;0.55;5;4.035387612
308;Polinomial;0.55;4;4.04518258
491;Polinomial;4.75;5;4.048857644
458;Polinomial;3.1;5;4.062162525
494;Polinomial;4.9;5;4.094795038
307;Polinomial;0.5;4;4.116585012
406;Polinomial;0.5;5;4.175841935
472;Polinomial;3.8;5;4.221563192
306;Polinomial;0.45;4;4.287011594
405;Polinomial;0.45;5;4.360602174
305;Polinomial;0.4;4;4.413229961
404;Polinomial;0.4;5;4.655975746
304;Polinomial;0.35;4;4.670165044
106;Polinomial;0.35;2;4.671722867
118;Polinomial;0.95;2;4.673688513
119;Polinomial;1;2;4.67371236
116;Polinomial;0.85;2;4.674866318
120;Polinomial;1.05;2;4.675765145
127;Polinomial;1.4;2;4.676554709
137;Polinomial;1.9;2;4.67663857
122;Polinomial;1.15;2;4.676768347
142;Polinomial;2.15;2;4.676864201
132;Polinomial;1.65;2;4.676871779
130;Polinomial;1.55;2;4.676966985
117;Polinomial;0.9;2;4.677043825
124;Polinomial;1.25;2;4.677698281
183;Polinomial;4.2;2;4.678055305
140;Polinomial;2.05;2;4.678082546
123;Polinomial;1.2;2;4.6782225
136;Polinomial;1.85;2;4.678364401
131;Polinomial;1.6;2;4.678376848
134;Polinomial;1.75;2;4.67855644
153;Polinomial;2.7;2;4.678761473
128;Polinomial;1.45;2;4.678804722
188;Polinomial;4.45;2;4.679049259
160;Polinomial;3.05;2;4.67924097
126;Polinomial;1.35;2;4.679322391
133;Polinomial;1.7;2;4.679460902
141;Polinomial;2.1;2;4.679549997
186;Polinomial;4.35;2;4.679558886
138;Polinomial;1.95;2;4.679588982
121;Polinomial;1.1;2;4.67960422
185;Polinomial;4.3;2;4.679647994
148;Polinomial;2.45;2;4.679721907
155;Polinomial;2.8;2;4.679725149
150;Polinomial;2.55;2;4.679754895
193;Polinomial;4.7;2;4.679781469
139;Polinomial;2;2;4.679803219
187;Polinomial;4.4;2;4.679872605
166;Polinomial;3.35;2;4.679911553
198;Polinomial;4.95;2;4.679915461
174;Polinomial;3.75;2;4.679954331
154;Polinomial;2.75;2;4.6799907
157;Polinomial;2.9;2;4.680238159
172;Polinomial;3.65;2;4.680283609
190;Polinomial;4.55;2;4.680348317
147;Polinomial;2.4;2;4.680364648
180;Polinomial;4.05;2;4.680369656
125;Polinomial;1.3;2;4.680478474
199;Polinomial;5;2;4.680586053
175;Polinomial;3.8;2;4.680640016
176;Polinomial;3.85;2;4.680723596
156;Polinomial;2.85;2;4.68076701
135;Polinomial;1.8;2;4.680839317
191;Polinomial;4.6;2;4.680906654
171;Polinomial;3.6;2;4.680986588
170;Polinomial;3.55;2;4.681037118
179;Polinomial;4;2;4.68107344
149;Polinomial;2.5;2;4.681101064
178;Polinomial;3.95;2;4.68110548
158;Polinomial;2.95;2;4.681162623
168;Polinomial;3.45;2;4.681212773
144;Polinomial;2.25;2;4.681283331
169;Polinomial;3.5;2;4.681309923
167;Polinomial;3.4;2;4.681352488
173;Polinomial;3.7;2;4.681399586
161;Polinomial;3.1;2;4.681400517
143;Polinomial;2.2;2;4.681448598
151;Polinomial;2.6;2;4.681618789
164;Polinomial;3.25;2;4.681621015
197;Polinomial;4.9;2;4.681706218
184;Polinomial;4.25;2;4.681821327
129;Polinomial;1.5;2;4.681944801
145;Polinomial;2.3;2;4.681992602
196;Polinomial;4.85;2;4.682058794
189;Polinomial;4.5;2;4.682104012
146;Polinomial;2.35;2;4.68247115
159;Polinomial;3;2;4.682684296
195;Polinomial;4.8;2;4.68295529
177;Polinomial;3.9;2;4.68298964
181;Polinomial;4.1;2;4.683018433
163;Polinomial;3.2;2;4.683170572
192;Polinomial;4.65;2;4.684369018
165;Polinomial;3.3;2;4.684823406
182;Polinomial;4.15;2;4.685185494
194;Polinomial;4.75;2;4.685748888
162;Polinomial;3.15;2;4.686356568
152;Polinomial;2.65;2;4.687568365
107;Polinomial;0.4;2;4.695590986
108;Polinomial;0.45;2;4.696404619
105;Polinomial;0.3;2;4.698215727
115;Polinomial;0.8;2;4.701575283
109;Polinomial;0.5;2;4.705988424
104;Polinomial;0.25;2;4.70924316
114;Polinomial;0.75;2;4.719696798
113;Polinomial;0.7;2;4.721435672
111;Polinomial;0.6;2;4.721497859
112;Polinomial;0.65;2;4.72161725
110;Polinomial;0.55;2;4.722280723
483;Polinomial;4.35;5;4.742206735
227;Polinomial;1.45;3;4.838608166
236;Polinomial;1.9;3;4.839337746
226;Polinomial;1.4;3;4.839565295
228;Polinomial;1.5;3;4.841710778
225;Polinomial;1.35;3;4.841787522
230;Polinomial;1.6;3;4.841809946
234;Polinomial;1.8;3;4.841878445
103;Polinomial;0.2;2;4.842148686
235;Polinomial;1.85;3;4.842238895
232;Polinomial;1.7;3;4.842321169
237;Polinomial;1.95;3;4.842645518
233;Polinomial;1.75;3;4.842709583
229;Polinomial;1.55;3;4.842821639
239;Polinomial;2.05;3;4.843191447
224;Polinomial;1.3;3;4.84373551
231;Polinomial;1.65;3;4.843985768
238;Polinomial;2;3;4.845057652
240;Polinomial;2.1;3;4.845520184
241;Polinomial;2.15;3;4.847883986
296;Polinomial;4.9;3;4.848550514
295;Polinomial;4.85;3;4.848732106
298;Polinomial;5;3;4.848732902
245;Polinomial;2.35;3;4.848906725
291;Polinomial;4.65;3;4.848911527
243;Polinomial;2.25;3;4.848948711
256;Polinomial;2.9;3;4.848951444
252;Polinomial;2.7;3;4.849060815
271;Polinomial;3.65;3;4.849220601
247;Polinomial;2.45;3;4.8493166
254;Polinomial;2.8;3;4.84934439
277;Polinomial;3.95;3;4.849382041
263;Polinomial;3.25;3;4.849426446
297;Polinomial;4.95;3;4.849429438
288;Polinomial;4.5;3;4.849623394
265;Polinomial;3.35;3;4.84964851
282;Polinomial;4.2;3;4.849675969
270;Polinomial;3.6;3;4.849786404
251;Polinomial;2.65;3;4.849787855
287;Polinomial;4.45;3;4.849825462
249;Polinomial;2.55;3;4.849835733
264;Polinomial;3.3;3;4.849837157
248;Polinomial;2.5;3;4.849903953
289;Polinomial;4.55;3;4.849912217
261;Polinomial;3.15;3;4.8499559
280;Polinomial;4.1;3;4.85006798
273;Polinomial;3.75;3;4.850098389
255;Polinomial;2.85;3;4.850099812
242;Polinomial;2.2;3;4.850100727
257;Polinomial;2.95;3;4.850104196
268;Polinomial;3.5;3;4.850118941
246;Polinomial;2.4;3;4.850119733
275;Polinomial;3.85;3;4.850126905
274;Polinomial;3.8;3;4.85015643
284;Polinomial;4.3;3;4.850185125
244;Polinomial;2.3;3;4.850199983
290;Polinomial;4.6;3;4.850215529
258;Polinomial;3;3;4.850231146
260;Polinomial;3.1;3;4.850256138
269;Polinomial;3.55;3;4.850280489
250;Polinomial;2.6;3;4.850356628
253;Polinomial;2.75;3;4.850387532
293;Polinomial;4.75;3;4.850433837
286;Polinomial;4.4;3;4.850467497
272;Polinomial;3.7;3;4.850521437
279;Polinomial;4.05;3;4.850636349
266;Polinomial;3.4;3;4.850762617
278;Polinomial;4;3;4.850860119
283;Polinomial;4.25;3;4.850906063
259;Polinomial;3.05;3;4.85091244
267;Polinomial;3.45;3;4.851052756
294;Polinomial;4.8;3;4.851115612
276;Polinomial;3.9;3;4.851130432
285;Polinomial;4.35;3;4.851278758
262;Polinomial;3.2;3;4.851858369
281;Polinomial;4.15;3;4.852140538
292;Polinomial;4.7;3;4.852567519
223;Polinomial;1.25;3;4.890274152
80;Polinomial;4;1;4.911027703
62;Polinomial;3.1;1;4.911363963
46;Polinomial;2.3;1;4.911663865
56;Polinomial;2.8;1;4.912069461
40;Polinomial;2;1;4.912264634
49;Polinomial;2.45;1;4.912637444
48;Polinomial;2.4;1;4.912652678
67;Polinomial;3.35;1;4.912760921
69;Polinomial;3.45;1;4.912845225
71;Polinomial;3.55;1;4.912971309
42;Polinomial;2.1;1;4.913138366
