"","Kernel","Parameter1","MSE"
"79","Mexican",3.95,9.70988174639675
"80","Mexican",4,9.66710357179148
"81","Mexican",4.05,9.62058520196351
"82","Mexican",4.1,9.57522311145013
"83","Mexican",4.15,9.52446822534842
"84","Mexican",4.2,9.47842843099915
"85","Mexican",4.25,9.43113273963449
"86","Mexican",4.3,9.38903702743594
"87","Mexican",4.35,9.34666157380105
"88","Mexican",4.4,9.31528898819452
"89","Mexican",4.45,9.28930183112767
"90","Mexican",4.5,9.24517107379688
"91","Mexican",4.55,9.21749887288614
"92","Mexican",4.6,9.20392083946604
"93","Mexican",4.65,9.17406193131279
"94","Mexican",4.7,9.15402469793174
"95","Mexican",4.75,9.1337605737309
"96","Mexican",4.8,9.12144212030854
"97","Mexican",4.85,9.10102913530598
"98","Mexican",4.9,9.0789251635417
"99","Mexican",4.95,9.0680729659796
"100","Mexican",5,9.05033838948771
"101","Mexican",5.05,9.04048607367172
"102","Mexican",5.1,9.02981496808559
"103","Mexican",5.15,9.01962474225407
"104","Mexican",5.2,9.00931845453362
"105","Mexican",5.25,8.9992875937518
"106","Mexican",5.3,8.98469143573438
"107","Mexican",5.35,8.96629952871212
"108","Mexican",5.4,8.95383535690181
"109","Mexican",5.45,8.9412507821616
"110","Mexican",5.5,8.91341261819618
"111","Mexican",5.55,8.88729904370163
"112","Mexican",5.6,8.85221118861335
"113","Mexican",5.65,8.83734705131926
"114","Mexican",5.7,8.80634780954359
"115","Mexican",5.75,8.77980897599807
"116","Mexican",5.8,8.75314576709015
"117","Mexican",5.85,8.73403297751844
"118","Mexican",5.9,8.74521928667711
"119","Mexican",5.95,8.74624885824728
"120","Mexican",6,8.75162427103639
"121","Mexican",6.05,8.7575144207285
"122","Mexican",6.1,8.78021430801853
"123","Mexican",6.15,8.8037792916088
"124","Mexican",6.2,8.82903732617535
"125","Mexican",6.25,8.85163860633435
"126","Mexican",6.3,8.87557287319753
"127","Mexican",6.35,8.90002702215515
"128","Mexican",6.4,8.92588098125457
"129","Mexican",6.45,8.93626907058153
"130","Mexican",6.5,8.94913864207732
"131","Mexican",6.55,8.96066705584581
"132","Mexican",6.6,8.96620154352154
"133","Mexican",6.65,8.97853699143936
"134","Mexican",6.7,8.97811979746137
"135","Mexican",6.75,8.98652562474191
"136","Mexican",6.8,9.00156374695124
"137","Mexican",6.85,9.00890335077793
"138","Mexican",6.9,9.01407060983931
"139","Mexican",6.95,9.01798419371432
"140","Mexican",7,9.02585355390686
"141","Mexican",7.05,9.0245854510045
"142","Mexican",7.1,9.03442883641541
"143","Mexican",7.15,9.03858320574684
"144","Mexican",7.2,9.04146641097707
"145","Mexican",7.25,9.05041382958376
"146","Mexican",7.3,9.05410588882771
"147","Mexican",7.35,9.05519365740492
"148","Mexican",7.4,9.06027482188897
"149","Mexican",7.45,9.06447955861776
"150","Mexican",7.5,9.07061644553152
"151","Mexican",7.55,9.08081640859534
"152","Mexican",7.6,9.08875285468516
"153","Mexican",7.65,9.0988701944586
"154","Mexican",7.7,9.1084283098372
"155","Mexican",7.75,9.12822856173917
"156","Mexican",7.8,9.13023153204754
"157","Mexican",7.85,9.13665112305448
"158","Mexican",7.9,9.13909818735319
"159","Mexican",7.95,9.14758698370195
"160","Mexican",8,9.15217065663844
"161","Mexican",8.05,9.15658755326645
"162","Mexican",8.1,9.16114322570051
"163","Mexican",8.15,9.16162829069044
"164","Mexican",8.2,9.16767539454598
"165","Mexican",8.25,9.16900659746529
"166","Mexican",8.3,9.17384344139849
"167","Mexican",8.35,9.1808506165196
"168","Mexican",8.4,9.18286887973006
"169","Mexican",8.45,9.18905727014377
"170","Mexican",8.5,9.19632600786174
"171","Mexican",8.55,9.20041062351618
"172","Mexican",8.6,9.201043991777
"173","Mexican",8.65,9.2021685200165
"174","Mexican",8.7,9.20710425926155
"175","Mexican",8.75,9.20802695998035
"176","Mexican",8.8,9.21259141184036
"177","Mexican",8.85,9.22185034218114
"178","Mexican",8.9,9.21107473179798
"179","Mexican",8.95,9.23359407466854
"180","Mexican",9,9.22288729449565
"181","Mexican",9.05,9.22717602776159
"182","Mexican",9.1,9.22570704107154
"183","Mexican",9.15,9.22630824193028
"184","Mexican",9.2,9.22348089753703
"185","Mexican",9.25,9.22547837910763
"186","Mexican",9.3,9.22434372154777
"187","Mexican",9.35,9.21684240408097
"188","Mexican",9.4,9.22327214335365
"189","Mexican",9.45,9.22938531643898
"190","Mexican",9.5,9.23253668274265
"191","Mexican",9.55,9.24166667882214
"192","Mexican",9.6,9.24438007960279
"193","Mexican",9.65,9.24766749581676
"194","Mexican",9.7,9.25427118729487
"195","Mexican",9.75,9.26478336939022
"196","Mexican",9.8,9.26650664870524
"197","Mexican",9.85,9.26942577674717
"198","Mexican",9.9,9.27577730786723
"199","Mexican",9.95,9.28192891784502
"200","Mexican",10,9.27957926807351
