"","Kernel","Parameter1","MSE"
"3","Mexican",0.15,622894.922094976
"4","Mexican",0.2,1531008.59558849
"5","Mexican",0.25,1527897.03031805
"6","Mexican",0.3,1011145.48473056
"7","Mexican",0.35,543427.079463975
"8","Mexican",0.4,196575.559784433
"9","Mexican",0.45,66630.820280346
"10","Mexican",0.5,7665.36205890412
"11","Mexican",0.55,12.9568143665039
"12","Mexican",0.6,14.1016437929073
"13","Mexican",0.65,13.6357335756358
"14","Mexican",0.7,14.4175047223377
"15","Mexican",0.75,14.2263476399855
"16","Mexican",0.8,14.1525703098967
"17","Mexican",0.85,14.2004152172984
"18","Mexican",0.9,14.2344594399566
"19","Mexican",0.95,14.2405496183219
"20","Mexican",1,14.2322573468999
"21","Mexican",1.05,14.1892825635416
"22","Mexican",1.1,14.1249294889074
"23","Mexican",1.15,14.0397115278668
"24","Mexican",1.2,13.9452370824066
"25","Mexican",1.25,13.8231347631208
"26","Mexican",1.3,13.7057227520013
"27","Mexican",1.35,13.5974350503299
"28","Mexican",1.4,13.4899415742985
"29","Mexican",1.45,13.3806273454905
"30","Mexican",1.5,13.2833231189968
"31","Mexican",1.55,13.1721960490109
"32","Mexican",1.6,13.0533585218344
"33","Mexican",1.65,12.940190851677
"34","Mexican",1.7,12.8424565149299
"35","Mexican",1.75,12.7470643691452
"36","Mexican",1.8,12.6646420262178
"37","Mexican",1.85,12.5870023897182
"38","Mexican",1.9,12.5111164228668
"39","Mexican",1.95,12.4368384197677
"40","Mexican",2,12.3557152986796
"41","Mexican",2.05,12.2756431004166
"42","Mexican",2.1,12.19937101739
"43","Mexican",2.15,12.1298612051632
"44","Mexican",2.2,12.0635437635423
"45","Mexican",2.25,11.9974256625759
"46","Mexican",2.3,11.9198809787029
"47","Mexican",2.35,11.8383279567337
"48","Mexican",2.4,11.7527695893605
"49","Mexican",2.45,11.6709080999318
"50","Mexican",2.5,11.5895623531692
"51","Mexican",2.55,11.5120874077188
"52","Mexican",2.6,11.4310542359562
"53","Mexican",2.65,11.3534753138588
"54","Mexican",2.7,11.2741834715625
"55","Mexican",2.75,11.1953644123671
"56","Mexican",2.8,11.1218973509345
"57","Mexican",2.85,11.048113842325
"58","Mexican",2.9,10.9743971992885
"59","Mexican",2.95,10.9003599868309
"60","Mexican",3,10.8330483309282
"61","Mexican",3.05,10.7673089744507
"62","Mexican",3.1,10.6958074505083
"63","Mexican",3.15,10.6267721922727
"64","Mexican",3.2,10.5536394998148
"65","Mexican",3.25,10.4867302077396
"66","Mexican",3.3,10.4271699167046
"67","Mexican",3.35,10.3690187306017
"68","Mexican",3.4,10.3169077642337
"69","Mexican",3.45,10.2635919927466
"70","Mexican",3.5,10.2098830781009
"71","Mexican",3.55,10.1423093871488
"72","Mexican",3.6,10.0823288021659
"73","Mexican",3.65,10.0216583768688
"74","Mexican",3.7,9.95347091449897
"75","Mexican",3.75,9.88727680892466
"76","Mexican",3.8,9.84179023832846
"77","Mexican",3.85,9.79037101649069
"78","Mexican",3.9,9.7408198657779
