"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"83","América do Norte","1995-11-01",0,1,0,0,23988,3.28655682305087e-06
"84","América do Norte","1995-12-01",1,0,0,0,22768,-2.29198489324522e-06
"85","América do Norte","1996-01-01",1,0,0,0,30727,1.2497319724784e-05
"86","América do Norte","1996-02-01",1,0,0,0,34210,4.71610383362171e-06
"87","América do Norte","1996-03-01",0,0,1,0,42061,6.72382421196771e-06
"88","América do Norte","1996-04-01",0,0,1,0,30413,-9.47824603822997e-06
"89","América do Norte","1996-05-01",0,0,1,0,20037,-9.92105713537933e-06
"90","América do Norte","1996-06-01",0,0,0,1,38560,2.15248382379488e-05
"91","América do Norte","1996-07-01",0,0,0,1,38752,2.47886291777086e-07
"92","América do Norte","1996-08-01",0,0,0,1,45965,4.42681197990238e-06
"93","América do Norte","1996-09-01",0,1,0,0,38732,-4.4182004945921e-06
"94","América do Norte","1996-10-01",0,1,0,0,37460,-7.26475247108492e-07
"95","América do Norte","1996-11-01",0,1,0,0,24639,-1.08164603839145e-05
"96","América do Norte","1996-12-01",1,0,0,0,24709,7.57340178823811e-08
"97","América do Norte","1997-01-01",1,0,0,0,35047,1.4185740820242e-05
"98","América do Norte","1997-02-01",1,0,0,0,35190,1.6479556143555e-07
"99","América do Norte","1997-03-01",0,0,1,0,42178,5.16839691717063e-06
"100","América do Norte","1997-04-01",0,0,1,0,35891,-4.58687668098207e-06
"101","América do Norte","1997-05-01",0,0,1,0,36494,3.95023373050657e-07
"102","América do Norte","1997-06-01",0,0,0,1,37011,3.91945118360968e-07
"103","América do Norte","1997-07-01",0,0,0,1,38891,1.35769429579305e-06
"104","América do Norte","1997-08-01",0,0,0,1,41830,1.96835870595223e-06
"105","América do Norte","1997-09-01",0,1,0,0,36765,-3.3186978942666e-06
"106","América do Norte","1997-10-01",0,1,0,0,37922,7.4073901419622e-07
"107","América do Norte","1997-11-01",0,1,0,0,45084,4.70545349565671e-06
"108","América do Norte","1997-12-01",1,0,0,0,37250,-5.03337038010291e-06
"109","América do Norte","1998-01-01",1,0,0,0,67767,1.32735206718055e-05
"110","América do Norte","1998-02-01",1,0,0,0,62344,-2.23913863763729e-06
"111","América do Norte","1998-03-01",0,0,1,0,58323,-9.83825605894417e-07
"112","América do Norte","1998-04-01",0,0,1,0,45714,-3.90722330918269e-06
"113","América do Norte","1998-05-01",0,0,1,0,42700,-1.16944732754399e-06
"114","América do Norte","1998-06-01",0,0,0,1,43373,3.42087926221348e-07
"115","América do Norte","1998-07-01",0,0,0,1,48268,2.50425497699047e-06
"116","América do Norte","1998-08-01",0,0,0,1,49172,4.27813169338982e-07
"117","América do Norte","1998-09-01",0,1,0,0,43372,-2.60027936096707e-06
"118","América do Norte","1998-10-01",0,1,0,0,45231,8.53506484482138e-07
"119","América do Norte","1998-11-01",0,1,0,0,51142,2.83185891735479e-06
"120","América do Norte","1998-12-01",1,0,0,0,50446,-3.02947540278152e-07
"121","América do Norte","1999-01-01",1,0,0,0,71243,6.74969910199495e-06
"122","América do Norte","1999-02-01",1,0,0,0,65622,-1.62917898598826e-06
"123","América do Norte","1999-03-01",0,0,1,0,62225,-7.46096561451496e-07
"124","América do Norte","1999-04-01",0,0,1,0,49281,-3.55396417400388e-06
"125","América do Norte","1999-05-01",0,0,1,0,46114,-1.0674490910848e-06
"126","América do Norte","1999-06-01",0,0,0,1,46760,2.82290234967788e-07
"127","América do Norte","1999-07-01",0,0,0,1,51665,2.16317025333847e-06
"128","América do Norte","1999-08-01",0,0,0,1,52950,5.25395688218479e-07
"129","América do Norte","1999-09-01",0,1,0,0,46392,-2.55919948656297e-06
"130","América do Norte","1999-10-01",0,1,0,0,47844,5.820337603981e-07
"131","América do Norte","1999-11-01",0,1,0,0,54213,2.69389148769008e-06
"132","América do Norte","1999-12-01",1,0,0,0,53500,-2.76713447499704e-07
"133","América do Norte","2000-01-01",1,0,0,0,84101,8.34369622807572e-06
"134","América do Norte","2000-02-01",1,0,0,0,77158,-1.61052691549391e-06
"135","América do Norte","2000-03-01",0,0,1,0,72435,-7.51069066266631e-07
"136","América do Norte","2000-04-01",0,0,1,0,56169,-3.29615340866131e-06
"137","América do Norte","2000-05-01",0,0,1,0,52268,-9.9372781336683e-07
"138","América do Norte","2000-06-01",0,0,0,1,52972,2.3819442998484e-07
"139","América do Norte","2000-07-01",0,0,0,1,58684,1.9592034363794e-06
"140","América do Norte","2000-08-01",0,0,0,1,60018,4.24326058176064e-07
"141","América do Norte","2000-09-01",0,1,0,0,52763,-2.19539107320558e-06
"142","América do Norte","2000-10-01",0,1,0,0,54395,5.07548575126528e-07
"143","América do Norte","2000-11-01",0,1,0,0,61972,2.47162656143506e-06
"144","América do Norte","2000-12-01",1,0,0,0,61335,-1.89944436976375e-07
"145","América do Norte","2001-01-01",1,0,0,0,88879,5.98536841893521e-06
"146","América do Norte","2001-02-01",1,0,0,0,82928,-1.12991167678516e-06
"147","América do Norte","2001-03-01",0,0,1,0,71742,-1.63026599401267e-06
"148","América do Norte","2001-04-01",0,0,1,0,56683,-2.84104292905942e-06
"149","América do Norte","2001-05-01",0,0,1,0,47586,-2.43840068321514e-06
"150","América do Norte","2001-06-01",0,0,0,1,48225,2.35325555502615e-07
"151","América do Norte","2001-07-01",0,0,0,1,62187,5.3433450152081e-06
"152","América do Norte","2001-08-01",0,0,0,1,57975,-1.45430982983702e-06
"153","América do Norte","2001-09-01",0,1,0,0,42155,-5.12419929835746e-06
"154","América do Norte","2001-10-01",0,1,0,0,41461,-2.86331608874467e-07
"155","América do Norte","2001-11-01",0,1,0,0,44089,1.45788380696174e-06
"156","América do Norte","2001-12-01",1,0,0,0,49328,2.70812457275949e-06
"157","América do Norte","2002-01-01",1,0,0,0,81278,1.13267142843889e-05
"158","América do Norte","2002-02-01",1,0,0,0,66385,-4.10323244162249e-06
"159","América do Norte","2002-03-01",0,0,1,0,60116,-1.22044216486647e-06
"160","América do Norte","2002-04-01",0,0,1,0,48188,-3.33156589089768e-06
"161","América do Norte","2002-05-01",0,0,1,0,52043,1.28019616310508e-06
"162","América do Norte","2002-06-01",0,0,0,1,56461,1.69087395984336e-06
"163","América do Norte","2002-07-01",0,0,0,1,66596,3.17226872701119e-06
"164","América do Norte","2002-08-01",0,0,0,1,63228,-9.19170306361153e-07
"165","América do Norte","2002-09-01",0,1,0,0,57481,-1.43090850201295e-06
"166","América do Norte","2002-10-01",0,1,0,0,58949,3.98845525653043e-07
"167","América do Norte","2002-11-01",0,1,0,0,57280,-4.99663204514439e-07
"168","América do Norte","2002-12-01",1,0,0,0,72024,3.88552603358471e-06
"169","América do Norte","2003-01-01",1,0,0,0,89897,3.86985289286011e-06
"170","América do Norte","2003-02-01",1,0,0,0,91365,2.24895902023714e-07
"171","América do Norte","2003-03-01",0,0,1,0,80202,-1.44959254189981e-06
"172","América do Norte","2003-04-01",0,0,1,0,59053,-3.35044170592098e-06
"173","América do Norte","2003-05-01",0,0,1,0,66800,1.53696584607216e-06
"174","América do Norte","2003-06-01",0,0,0,1,61397,-1.42824423006523e-06
"175","América do Norte","2003-07-01",0,0,0,1,46435,-4.18124983228423e-06
"176","América do Norte","2003-08-01",0,0,0,1,53892,2.42566507590972e-06
"177","América do Norte","2003-09-01",0,1,0,0,56429,9.9065719522073e-07
"178","América do Norte","2003-10-01",0,1,0,0,64112,2.36859539709257e-06
"179","América do Norte","2003-11-01",0,1,0,0,45858,-5.93811494807609e-06
"180","América do Norte","2003-12-01",1,0,0,0,71967,7.02923033327759e-06
"181","América do Norte","2004-01-01",1,0,0,0,82826,3.06455451930829e-06
"182","América do Norte","2004-02-01",1,0,0,0,91635,1.40441136920402e-06
"183","América do Norte","2004-03-01",0,0,1,0,80896,-1.50494911845922e-06
"184","América do Norte","2004-04-01",0,0,1,0,62348,-2.84206672622397e-06
"185","América do Norte","2004-05-01",0,0,1,0,67811,1.03828160907411e-06
"186","América do Norte","2004-06-01",0,0,0,1,65558,-5.41944836570698e-07
"187","América do Norte","2004-07-01",0,0,0,1,59175,-1.51061172381923e-06
"188","América do Norte","2004-08-01",0,0,0,1,64831,1.39242699022964e-06
"189","América do Norte","2004-09-01",0,1,0,0,61394,-9.20520042535352e-07
"190","América do Norte","2004-10-01",0,1,0,0,65540,1.00798279776921e-06
"191","América do Norte","2004-11-01",0,1,0,0,56613,-2.38495622464087e-06
"192","América do Norte","2004-12-01",1,0,0,0,79968,5.26987967405361e-06
"193","América do Norte","2005-01-01",1,0,0,0,83517,7.67026112314061e-07
"194","América do Norte","2005-02-01",1,0,0,0,90265,9.71633458879104e-07
"195","América do Norte","2005-03-01",0,0,1,0,82170,-1.12503462104152e-06
"196","América do Norte","2005-04-01",0,0,1,0,66605,-2.32660081027718e-06
"197","América do Norte","2005-05-01",0,0,1,0,79243,2.11439005691979e-06
"198","América do Norte","2005-06-01",0,0,0,1,82604,6.23662258449371e-07
"199","América do Norte","2005-07-01",0,0,0,1,86659,6.04757156991244e-07
"200","América do Norte","2005-08-01",0,0,0,1,78516,-1.19459652341777e-06
"201","América do Norte","2005-09-01",0,1,0,0,66297,-1.951993196048e-06
"202","América do Norte","2005-10-01",0,1,0,0,69894,6.72922224087028e-07
"203","América do Norte","2005-11-01",0,1,0,0,70686,1.69958291421049e-07
"204","América do Norte","2005-12-01",1,0,0,0,85321,2.69226372254797e-06
"205","América do Norte","2006-01-01",1,0,0,0,87724,3.92933650644447e-07
"206","América do Norte","2006-02-01",1,0,0,0,87480,-3.2645261268508e-08
"207","América do Norte","2006-03-01",0,0,1,0,91827,5.52826777402072e-07
"208","América do Norte","2006-04-01",0,0,1,0,75846,-2.18565847379871e-06
"209","América do Norte","2006-05-01",0,0,1,0,69126,-1.01031333330616e-06
"210","América do Norte","2006-06-01",0,0,0,1,74744,1.03021932872773e-06
"211","América do Norte","2006-07-01",0,0,0,1,57857,-3.70474919101756e-06
"212","América do Norte","2006-08-01",0,0,0,1,54779,-7.31397036305221e-07
"213","América do Norte","2006-09-01",0,1,0,0,58826,1.23195162578718e-06
"214","América do Norte","2006-10-01",0,1,0,0,54791,-1.29717569058269e-06
"215","América do Norte","2006-11-01",0,1,0,0,60511,1.68801583997169e-06
"216","América do Norte","2006-12-01",1,0,0,0,81587,5.45426746839992e-06
"217","América do Norte","2007-01-01",1,0,0,0,83246,3.32669169330661e-07
"218","América do Norte","2007-02-01",1,0,0,0,75588,-1.18281759631275e-06
"219","América do Norte","2007-03-01",0,0,1,0,73628,-3.15596572295565e-07
"220","América do Norte","2007-04-01",0,0,1,0,66524,-1.34231099331353e-06
