"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","Ásia","1989-01-01",1,0,0,0,4128,NA
"2","Ásia","1989-02-01",1,0,0,0,3888,NA
"3","Ásia","1989-03-01",0,0,1,0,3316,-0.138565891472868
"4","Ásia","1989-04-01",0,0,1,0,3293,-0.0059156378600823
"5","Ásia","1989-05-01",0,0,1,0,2833,-0.138721351025332
"6","Ásia","1989-06-01",0,0,0,1,3074,0.0731855450956575
"7","Ásia","1989-07-01",0,0,0,1,3451,0.133074479350512
"8","Ásia","1989-08-01",0,0,0,1,4545,0.355888093689005
"9","Ásia","1989-09-01",0,1,0,0,2405,-0.620110113010721
"10","Ásia","1989-10-01",0,1,0,0,2973,0.124972497249725
"11","Ásia","1989-11-01",0,1,0,0,4226,0.520997920997921
"12","Ásia","1989-12-01",1,0,0,0,4734,0.170871173898419
"13","Ásia","1990-01-01",1,0,0,0,5058,0.0766682442025556
"14","Ásia","1990-02-01",1,0,0,0,6495,0.303548795944233
"15","Ásia","1990-03-01",0,0,1,0,4435,-0.40727560300514
"16","Ásia","1990-04-01",0,0,1,0,4262,-0.0266358737490377
"17","Ásia","1990-05-01",0,0,1,0,3761,-0.112965050732807
"18","Ásia","1990-06-01",0,0,0,1,2421,-0.314406381980291
"19","Ásia","1990-07-01",0,0,0,1,3284,0.229460249933528
"20","Ásia","1990-08-01",0,0,0,1,3918,0.261875258157786
"21","Ásia","1990-09-01",0,1,0,0,2921,-0.303593179049939
"22","Ásia","1990-10-01",0,1,0,0,3078,0.0400714650331802
"23","Ásia","1990-11-01",0,1,0,0,2723,-0.121533721328312
"24","Ásia","1990-12-01",1,0,0,0,2473,-0.0812215724496426
"25","Ásia","1991-01-01",1,0,0,0,3237,0.280572897539479
"26","Ásia","1991-02-01",1,0,0,0,1916,-0.534169025475131
"27","Ásia","1991-03-01",0,0,1,0,2480,0.174235403151066
"28","Ásia","1991-04-01",0,0,1,0,2820,0.177453027139875
"29","Ásia","1991-05-01",0,0,1,0,2469,-0.141532258064516
"30","Ásia","1991-06-01",0,0,0,1,2774,0.108156028368794
"31","Ásia","1991-07-01",0,0,0,1,2500,-0.110976103685703
"32","Ásia","1991-08-01",0,0,0,1,2777,0.0998558038932949
"33","Ásia","1991-09-01",0,1,0,0,1728,-0.4196
"34","Ásia","1991-10-01",0,1,0,0,3079,0.486496218941304
"35","Ásia","1991-11-01",0,1,0,0,3677,0.346064814814815
"36","Ásia","1991-12-01",1,0,0,0,2968,-0.230269568041572
"37","Ásia","1992-01-01",1,0,0,0,2951,-0.00462333423986946
"38","Ásia","1992-02-01",1,0,0,0,3835,0.297843665768194
"39","Ásia","1992-03-01",0,0,1,0,2960,-0.296509657743138
"40","Ásia","1992-04-01",0,0,1,0,2671,-0.0753585397653194
"41","Ásia","1992-05-01",0,0,1,0,3715,0.352702702702703
"42","Ásia","1992-06-01",0,0,0,1,4451,0.275552227630101
"43","Ásia","1992-07-01",0,0,0,1,3243,-0.325168236877524
"44","Ásia","1992-08-01",0,0,0,1,2840,-0.0905414513592451
"45","Ásia","1992-09-01",0,1,0,0,2544,-0.0912735121800802
"46","Ásia","1992-10-01",0,1,0,0,2585,0.0144366197183099
"47","Ásia","1992-11-01",0,1,0,0,3513,0.364779874213836
