"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","América Central e Caribe",1989-01-01,1,0,0,0,667,NA
"2","América Central e Caribe",1989-02-01,1,0,0,0,632,NA
"3","América Central e Caribe",1989-03-01,0,0,1,0,859,0.340329835082459
"4","América Central e Caribe",1989-04-01,0,0,1,0,653,-0.325949367088608
"5","América Central e Caribe",1989-05-01,0,0,1,0,559,-0.109429569266589
"6","América Central e Caribe",1989-06-01,0,0,0,1,778,0.335375191424196
"7","América Central e Caribe",1989-07-01,0,0,0,1,786,0.0143112701252236
"8","América Central e Caribe",1989-08-01,0,0,0,1,773,-0.0167095115681234
"9","América Central e Caribe",1989-09-01,0,1,0,0,663,-0.139949109414758
"10","América Central e Caribe",1989-10-01,0,1,0,0,601,-0.0802069857697283
"11","América Central e Caribe",1989-11-01,0,1,0,0,775,0.262443438914027
"12","América Central e Caribe",1989-12-01,1,0,0,0,599,-0.292845257903494
"13","América Central e Caribe",1990-01-01,1,0,0,0,563,-0.0464516129032258
"14","América Central e Caribe",1990-02-01,1,0,0,0,971,0.681135225375626
"15","América Central e Caribe",1990-03-01,0,0,1,0,969,-0.00355239786856128
"16","América Central e Caribe",1990-04-01,0,0,1,0,544,-0.437693099897013
"17","América Central e Caribe",1990-05-01,0,0,1,0,480,-0.066047471620227
"18","América Central e Caribe",1990-06-01,0,0,0,1,616,0.25
"19","América Central e Caribe",1990-07-01,0,0,0,1,661,0.09375
"20","América Central e Caribe",1990-08-01,0,0,0,1,590,-0.11525974025974
"21","América Central e Caribe",1990-09-01,0,1,0,0,838,0.375189107413011
"22","América Central e Caribe",1990-10-01,0,1,0,0,718,-0.203389830508475
"23","América Central e Caribe",1990-11-01,0,1,0,0,671,-0.0560859188544153
"24","América Central e Caribe",1990-12-01,1,0,0,0,423,-0.345403899721448
"25","América Central e Caribe",1991-01-01,1,0,0,0,381,-0.0625931445603577
"26","América Central e Caribe",1991-02-01,1,0,0,0,311,-0.16548463356974
"27","América Central e Caribe",1991-03-01,0,0,1,0,431,0.31496062992126
