"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","Oceania",1989-01-01,1,0,0,0,741,NA
"2","Oceania",1989-02-01,1,0,0,0,415,NA
"3","Oceania",1989-03-01,0,0,1,0,792,0.508771929824561
"4","Oceania",1989-04-01,0,0,1,0,499,-0.706024096385542
"5","Oceania",1989-05-01,0,0,1,0,502,0.00378787878787879
"6","Oceania",1989-06-01,0,0,0,1,495,-0.0140280561122244
"7","Oceania",1989-07-01,0,0,0,1,378,-0.233067729083665
"8","Oceania",1989-08-01,0,0,0,1,439,0.123232323232323
"9","Oceania",1989-09-01,0,1,0,0,541,0.26984126984127
"10","Oceania",1989-10-01,0,1,0,0,580,0.0888382687927107
"11","Oceania",1989-11-01,0,1,0,0,437,-0.264325323475046
"12","Oceania",1989-12-01,1,0,0,0,607,0.293103448275862
"13","Oceania",1990-01-01,1,0,0,0,551,-0.128146453089245
"14","Oceania",1990-02-01,1,0,0,0,731,0.296540362438221
"15","Oceania",1990-03-01,0,0,1,0,504,-0.411978221415608
"16","Oceania",1990-04-01,0,0,1,0,548,0.0601915184678523
"17","Oceania",1990-05-01,0,0,1,0,544,-0.00793650793650794
"18","Oceania",1990-06-01,0,0,0,1,273,-0.494525547445255
"19","Oceania",1990-07-01,0,0,0,1,457,0.338235294117647
"20","Oceania",1990-08-01,0,0,0,1,699,0.886446886446886
"21","Oceania",1990-09-01,0,1,0,0,600,-0.216630196936543
"22","Oceania",1990-10-01,0,1,0,0,631,0.0443490701001431
"23","Oceania",1990-11-01,0,1,0,0,450,-0.301666666666667
"24","Oceania",1990-12-01,1,0,0,0,380,-0.110935023771791
"25","Oceania",1991-01-01,1,0,0,0,700,0.711111111111111
"26","Oceania",1991-02-01,1,0,0,0,285,-1.09210526315789
"27","Oceania",1991-03-01,0,0,1,0,269,-0.0228571428571429
"28","Oceania",1991-04-01,0,0,1,0,567,1.04561403508772
"29","Oceania",1991-05-01,0,0,1,0,524,-0.159851301115242
"30","Oceania",1991-06-01,0,0,0,1,401,-0.216931216931217
"31","Oceania",1991-07-01,0,0,0,1,347,-0.103053435114504
"32","Oceania",1991-08-01,0,0,0,1,415,0.169576059850374
"33","Oceania",1991-09-01,0,1,0,0,383,-0.0922190201729107
"34","Oceania",1991-10-01,0,1,0,0,482,0.23855421686747
"35","Oceania",1991-11-01,0,1,0,0,481,-0.00261096605744125
"36","Oceania",1991-12-01,1,0,0,0,465,-0.033195020746888
"37","Oceania",1992-01-01,1,0,0,0,584,0.247401247401247
"38","Oceania",1992-02-01,1,0,0,0,557,-0.0580645161290323
"39","Oceania",1992-03-01,0,0,1,0,386,-0.292808219178082
"40","Oceania",1992-04-01,0,0,1,0,389,0.00538599640933573
"41","Oceania",1992-05-01,0,0,1,0,569,0.466321243523316
"42","Oceania",1992-06-01,0,0,0,1,471,-0.251928020565553
"43","Oceania",1992-07-01,0,0,0,1,443,-0.0492091388400703
"44","Oceania",1992-08-01,0,0,0,1,404,-0.0828025477707006
"45","Oceania",1992-09-01,0,1,0,0,522,0.266365688487585
"46","Oceania",1992-10-01,0,1,0,0,465,-0.141089108910891
"47","Oceania",1992-11-01,0,1,0,0,366,-0.189655172413793
"48","Oceania",1992-12-01,1,0,0,0,306,-0.129032258064516
"49","Oceania",1993-01-01,1,0,0,0,323,0.046448087431694
"50","Oceania",1993-02-01,1,0,0,0,531,0.679738562091503
"51","Oceania",1993-03-01,0,0,1,0,197,-1.03405572755418
"52","Oceania",1993-04-01,0,0,1,0,203,0.0112994350282486
"53","Oceania",1993-05-01,0,0,1,0,294,0.461928934010152
"54","Oceania",1993-06-01,0,0,0,1,217,-0.379310344827586
"55","Oceania",1993-07-01,0,0,0,1,207,-0.0340136054421769
"56","Oceania",1993-08-01,0,0,0,1,295,0.405529953917051
"57","Oceania",1993-09-01,0,1,0,0,344,0.236714975845411
