"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","Europa",1989-01-01,1,0,0,0,37749,NA
"2","Europa",1989-02-01,1,0,0,0,32892,NA
"3","Europa",1989-03-01,0,0,1,0,38388,0.145593260748629
"4","Europa",1989-04-01,0,0,1,0,25079,-0.404627264988447
"5","Europa",1989-05-01,0,0,1,0,20382,-0.12235594456601
"6","Europa",1989-06-01,0,0,0,1,18673,-0.0681446628653455
"7","Europa",1989-07-01,0,0,0,1,29624,0.537287802963399
"8","Europa",1989-08-01,0,0,0,1,27522,-0.112568949820597
"9","Europa",1989-09-01,0,1,0,0,16675,-0.366155819605725
"10","Europa",1989-10-01,0,1,0,0,23903,0.262626262626263
"11","Europa",1989-11-01,0,1,0,0,32559,0.519100449775112
"12","Europa",1989-12-01,1,0,0,0,40609,0.336777810316697
"13","Europa",1990-01-01,1,0,0,0,34962,-0.173438987683897
"14","Europa",1990-02-01,1,0,0,0,35609,0.0159324287719471
"15","Europa",1990-03-01,0,0,1,0,28089,-0.215090669870145
"16","Europa",1990-04-01,0,0,1,0,23583,-0.126541042994749
"17","Europa",1990-05-01,0,0,1,0,18436,-0.183238990352095
"18","Europa",1990-06-01,0,0,0,1,13599,-0.205105372514099
"19","Europa",1990-07-01,0,0,0,1,28718,0.820080277717509
"20","Europa",1990-08-01,0,0,0,1,27536,-0.0869181557467461
"21","Europa",1990-09-01,0,1,0,0,22567,-0.173027369593983
"22","Europa",1990-10-01,0,1,0,0,28406,0.212049680418361
"23","Europa",1990-11-01,0,1,0,0,32565,0.184295652944565
"24","Europa",1990-12-01,1,0,0,0,32407,-0.00556220516792227
"25","Europa",1991-01-01,1,0,0,0,36356,0.121265161983725
"26","Europa",1991-02-01,1,0,0,0,18736,-0.543709692350418
"27","Europa",1991-03-01,0,0,1,0,23839,0.140361976014963
"28","Europa",1991-04-01,0,0,1,0,22640,-0.0639944491887276
"29","Europa",1991-05-01,0,0,1,0,18630,-0.168211753848735
"30","Europa",1991-06-01,0,0,0,1,16958,-0.0738515901060071
"31","Europa",1991-07-01,0,0,0,1,23687,0.361191626409018
"32","Europa",1991-08-01,0,0,0,1,24511,0.0485906356881708
"33","Europa",1991-09-01,0,1,0,0,14526,-0.421539240933846
"34","Europa",1991-10-01,0,1,0,0,28677,0.577332626167843
"35","Europa",1991-11-01,0,1,0,0,35327,0.457799807242186
"36","Europa",1991-12-01,1,0,0,0,40061,0.165080029291767
"37","Europa",1992-01-01,1,0,0,0,34712,-0.151413932686047
"38","Europa",1992-02-01,1,0,0,0,31149,-0.0889393674646165
"39","Europa",1992-03-01,0,0,1,0,27326,-0.110134823692095
"40","Europa",1992-04-01,0,0,1,0,26257,-0.0343189187453851
"41","Europa",1992-05-01,0,0,1,0,21084,-0.189306887213643
"42","Europa",1992-06-01,0,0,0,1,20827,-0.00978786609285143
"43","Europa",1992-07-01,0,0,0,1,27506,0.316780497059381
"44","Europa",1992-08-01,0,0,0,1,28410,0.0434051951793345
"45","Europa",1992-09-01,0,1,0,0,20151,-0.300261761070312
"46","Europa",1992-10-01,0,1,0,0,25574,0.190883491728265
"47","Europa",1992-11-01,0,1,0,0,33495,0.393082229169768
