"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","África","1989-01-01",1,0,0,0,1902,NA
"2","África","1989-02-01",1,0,0,0,1755,NA
"3","África","1989-03-01",0,0,1,0,2459,0.000177332232553221
"4","África","1989-04-01",0,0,1,0,1606,-0.00024273968530455
"5","África","1989-05-01",0,0,1,0,2072,0.000103606225649722
"6","África","1989-06-01",0,0,0,1,2096,7.17088546796963e-06
"7","África","1989-07-01",0,0,0,1,1983,-2.67470641511278e-05
"8","África","1989-08-01",0,0,0,1,3151,0.00022094895669727
"9","África","1989-09-01",0,1,0,0,1600,-0.000341763103141403
"10","África","1989-10-01",0,1,0,0,2815,0.000179295027720063
"11","África","1989-11-01",0,1,0,0,3031,4.62064603025075e-05
"12","África","1989-12-01",1,0,0,0,2983,-5.67072559255956e-06
"13","África","1990-01-01",1,0,0,0,2375,-7.52002863893125e-05
"14","África","1990-02-01",1,0,0,0,1919,-7.14694000875098e-05
"15","África","1990-03-01",0,0,1,0,2165,5.07857450226906e-05
"16","África","1990-04-01",0,0,1,0,2543,8.38583246407135e-05
"17","África","1990-05-01",0,0,1,0,2255,-5.55170962980786e-05
"18","África","1990-06-01",0,0,0,1,1464,-0.00016986927149647
"19","África","1990-07-01",0,0,0,1,3006,0.000319041186603842
"20","África","1990-08-01",0,0,0,1,2443,-0.000141655395529494
"21","África","1990-09-01",0,1,0,0,3118,8.11593407717836e-05
"22","África","1990-10-01",0,1,0,0,2972,-1.96302266803406e-05
"23","África","1990-11-01",0,1,0,0,1918,-0.000140459316996237
"24","África","1990-12-01",1,0,0,0,1778,-2.55026377421043e-05
"25","África","1991-01-01",1,0,0,0,1695,-2.49251283937954e-05
"26","África","1991-02-01",1,0,0,0,900,-0.000356042326484949
"27","África","1991-03-01",0,0,1,0,1119,0.000128493182883548
"28","África","1991-04-01",0,0,1,0,1820,0.000540445635287684
"29","África","1991-05-01",0,0,1,0,1699,-6.14804811429031e-05
"30","África","1991-06-01",0,0,0,1,1821,3.81021747558659e-05
"31","África","1991-07-01",0,0,0,1,1780,-1.34034352215876e-05
"32","África","1991-08-01",0,0,0,1,2159,0.000106003178049795
"33","África","1991-09-01",0,1,0,0,1604,-0.000166935192184465
