"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","América do Norte",1989-01-01,1,0,0,0,20285,NA
"2","América do Norte",1989-02-01,1,0,0,0,18127,NA
"3","América do Norte",1989-03-01,0,0,1,0,22453,0.213261030317969
"4","América do Norte",1989-04-01,0,0,1,0,16070,-0.352126661885585
"5","América do Norte",1989-05-01,0,0,1,0,13027,-0.135527546430321
"6","América do Norte",1989-06-01,0,0,0,1,11358,-0.103858120721842
"7","América do Norte",1989-07-01,0,0,0,1,10947,-0.0315498579872572
"8","América do Norte",1989-08-01,0,0,0,1,12619,0.147209015671773
"9","América do Norte",1989-09-01,0,1,0,0,6942,-0.518589567918151
"10","América do Norte",1989-10-01,0,1,0,0,12346,0.428243125445756
"11","América do Norte",1989-11-01,0,1,0,0,17817,0.788101411696917
"12","América do Norte",1989-12-01,1,0,0,0,14486,-0.269803985096387
"13","América do Norte",1990-01-01,1,0,0,0,15615,0.0633664477745973
"14","América do Norte",1990-02-01,1,0,0,0,16431,0.0563302498964517
"15","América do Norte",1990-03-01,0,0,1,0,14492,-0.124175472302273
"16","América do Norte",1990-04-01,0,0,1,0,10533,-0.240946990444891
"17","América do Norte",1990-05-01,0,0,1,0,9949,-0.0402980955009661
"18","América do Norte",1990-06-01,0,0,0,1,8447,-0.142599449349663
"19","América do Norte",1990-07-01,0,0,0,1,10317,0.187958588802895
"20","América do Norte",1990-08-01,0,0,0,1,10754,0.0517343435539245
"21","América do Norte",1990-09-01,0,1,0,0,9358,-0.135310652321411
"22","América do Norte",1990-10-01,0,1,0,0,12894,0.328807885437977
"23","América do Norte",1990-11-01,0,1,0,0,15596,0.288736909596068
"24","América do Norte",1990-12-01,1,0,0,0,12205,-0.262990538234838
"25","América do Norte",1991-01-01,1,0,0,0,12679,0.030392408309823
"26","América do Norte",1991-02-01,1,0,0,0,10335,-0.192052437525604
"27","América do Norte",1991-03-01,0,0,1,0,13467,0.247022635854563
"28","América do Norte",1991-04-01,0,0,1,0,12201,-0.122496371552975
"29","América do Norte",1991-05-01,0,0,1,0,10376,-0.135516447612683
"30","América do Norte",1991-06-01,0,0,0,1,9651,-0.0594213589050078
"31","América do Norte",1991-07-01,0,0,0,1,8934,-0.0691017733230532
"32","América do Norte",1991-08-01,0,0,0,1,9805,0.0902497150554347
"33","América do Norte",1991-09-01,0,1,0,0,6778,-0.338817998656817
"34","América do Norte",1991-10-01,0,1,0,0,13640,0.699847016828149
"35","América do Norte",1991-11-01,0,1,0,0,14026,0.0569489524933609
"36","América do Norte",1991-12-01,1,0,0,0,12268,-0.128885630498534
"37","América do Norte",1992-01-01,1,0,0,0,11939,-0.0234564380436333
"38","América do Norte",1992-02-01,1,0,0,0,12886,0.0771926964460385
