"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"88","Continente não especificado",1996-04-01,0,0,1,0,1078,0.146043165467626
"89","Continente não especificado",1996-05-01,0,0,1,0,957,-0.138285714285714
"90","Continente não especificado",1996-06-01,0,0,0,1,1628,0.622448979591837
"91","Continente não especificado",1996-07-01,0,0,0,1,1536,-0.0961337513061651
"92","Continente não especificado",1996-08-01,0,0,0,1,1442,-0.0577395577395577
"93","Continente não especificado",1996-09-01,0,1,0,0,812,-0.41015625
"94","Continente não especificado",1996-10-01,0,1,0,0,1154,0.237170596393897
"95","Continente não especificado",1996-11-01,0,1,0,0,527,-0.772167487684729
"96","Continente não especificado",1996-12-01,1,0,0,0,723,0.169844020797227
"97","Continente não especificado",1997-01-01,1,0,0,0,762,0.0740037950664137
"98","Continente não especificado",1997-02-01,1,0,0,0,1094,0.459197786998617
"99","Continente não especificado",1997-03-01,0,0,1,0,737,-0.468503937007874
"100","Continente não especificado",1997-04-01,0,0,1,0,1103,0.3345521023766
"101","Continente não especificado",1997-05-01,0,0,1,0,648,-0.617367706919946
"102","Continente não especificado",1997-06-01,0,0,0,1,677,0.0262919310970082
"103","Continente não especificado",1997-07-01,0,0,0,1,1001,0.5
"104","Continente não especificado",1997-08-01,0,0,0,1,716,-0.420974889217134
"105","Continente não especificado",1997-09-01,0,1,0,0,716,0
"106","Continente não especificado",1997-10-01,0,1,0,0,857,0.196927374301676
"107","Continente não especificado",1997-11-01,0,1,0,0,1238,0.532122905027933
"108","Continente não especificado",1997-12-01,1,0,0,0,1526,0.336056009334889
"109","Continente não especificado",1998-01-01,1,0,0,0,4357,2.28675282714055
"110","Continente não especificado",1998-02-01,1,0,0,0,3957,-0.262123197903014
"111","Continente não especificado",1998-03-01,0,0,1,0,3496,-0.105806747762222
"112","Continente não especificado",1998-04-01,0,0,1,0,2255,-0.313621430376548
"113","Continente não especificado",1998-05-01,0,0,1,0,1899,-0.101830663615561
"114","Continente não especificado",1998-06-01,0,0,0,1,2077,0.0789356984478936
"115","Continente não especificado",1998-07-01,0,0,0,1,2228,0.0795155344918378
"116","Continente não especificado",1998-08-01,0,0,0,1,2122,-0.0510351468464131
"117","Continente não especificado",1998-09-01,0,1,0,0,1993,-0.0578994614003591
"118","Continente não especificado",1998-10-01,0,1,0,0,2138,0.0683317624882187
"119","Continente não especificado",1998-11-01,0,1,0,0,2425,0.144004014049172
"120","Continente não especificado",1998-12-01,1,0,0,0,2696,0.126753975678204
"121","Continente não especificado",1999-01-01,1,0,0,0,4278,0.652371134020619
"122","Continente não especificado",1999-02-01,1,0,0,0,3850,-0.158753709198813
